Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022]
Viet Nam,VNM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,106.8,114.3
Virgin Islands (U.S.),VIR,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
West Bank and Gaza,PSE,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,117.6,125.5
"Yemen, Rep.",YEM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,119.8,147.5
Zambia,ZMB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,159.8,163.1
Zimbabwe,ZWE,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,121.6,136.2
Africa Eastern and Southern,AFE,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Africa Western and Central,AFW,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Arab World,ARB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Caribbean small states,CSS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Central Europe and the Baltics,CEB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Early-demographic dividend,EAR,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
East Asia & Pacific,EAS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
East Asia & Pacific (excluding high income),EAP,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Euro area,EMU,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Europe & Central Asia,ECS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Europe & Central Asia (excluding high income),ECA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
European Union,EUU,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Fragile and conflict affected situations,FCS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Heavily indebted poor countries (HIPC),HPC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
High income,HIC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
IBRD only,IBD,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
IDA & IBRD total,IBT,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
IDA blend,IDB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
IDA only,IDX,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
IDA total,IDA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Late-demographic dividend,LTE,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Latin America & Caribbean,LCN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Latin America & Caribbean (excluding high income),LAC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Least developed countries: UN classification,LDC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Low & middle income,LMY,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Low income,LIC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Lower middle income,LMC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Middle East & North Africa,MEA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Middle East & North Africa (excluding high income),MNA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Middle income,MIC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
North America,NAC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Not classified,INX,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
OECD members,OED,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Other small states,OSS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Pacific island small states,PSS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Post-demographic dividend,PST,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Pre-demographic dividend,PRE,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Small states,SST,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
South Asia,SAS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
South Asia (IDA & IBRD),TSA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Sub-Saharan Africa,SSF,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Sub-Saharan Africa (excluding high income),SSA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Upper middle income,UMC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
World,WLD,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 09/19/2024,,,,,
