Country/Area,Year,Unit, Final consumption expenditure , Household consumption expenditure (including Non-profit institutions serving households) , General government final consumption expenditure , Gross capital formation , Gross fixed capital formation (including Acquisitions less disposals of valuables) , Changes in inventories ,Exports of goods and services,Imports of goods and services,Gross Domestic Product (GDP)
Senegal,2022,US$,20660765103.12,16943078713.21,3707102613.11,10237311235.98,9034810875.59,1158162466.67,6959522525.06,12363239197.91,25302260864.32
Serbia,2022,US$,42417988729.29,34813928203.06,7604060526.22,11742149976.18,11742149976.18, ... ,33849543366.68,40328351848.28,49711066842.25
Seychelles,2022,US$,1888823380.71,1323827981.36,564799304.77,319585223.67,319585223.67, ... ,1995953124.97,2084956981.05,1869028598.78
Sierra Leone,2022,US$,8108331112.59,7370954463.72,737945320.96,451347967.81,439581238.60,-2215451.05,772508515.75,3438042264.10,5405520318.69
Singapore,2022,US$,173679698097.20,132499772698.34,40977578964.60,92616151146.51,88006109868.53,4610041277.98,706930700270.94,587707526412.45,379708690196.93
Sint Maarten (Dutch part),2022,US$,1285378367.60,1012139725.65,273221458.75,469606736.16,469606736.16, ... ,930180303.52,1017711247.76,1204334921.08
Slovakia,2022,US$,76999463160.24,59486282820.69,17682427257.17,23805956479.30,20807911555.57,2901062667.17,100089159914.44,98387732805.89,102499164242.51
Slovenia,2022,US$,38461084651.30,28894179706.70,9602599697.00,11993630264.31,10697002874.37,1701085774.95,48786646838.18,45835554527.84,53516808295.26
Solomon Islands,2022,US$,1124152625.65,753865980.37,369079018.56,386517958.20,376621708.31,-426416.84,400756693.71,474715337.61,1371062278.87
Somalia,2022,US$,12919381467.33,12228846848.19,687719646.13,2151827557.44,2151827557.44, ... ,1490091221.38,7389440722.52,9318808689.51
South Africa,2022,US$,310890450321.34,240348135976.28,70542314345.14,55862950148.87,52391509205.75,3471440208.39,98511597770.27,105650822156.50,360473886103.08
South America,2022,US$,3201938549212.00,2561482034405.69,661854355253.09,679304638754.53,707451358240.26,-6227665285.25,632231174451.29,723758747102.67,3779263449295.85
South Sudan,2022,US$,19017611224.04,11592497753.08,6248665892.20,1750674854.38,1750685164.19, ... ,2055723584.50,18621068633.62,6150387591.27
South-Eastern Asia,2022,US$,2200263063057.10,1813203087361.96,388293817483.34,907740586531.26,883332747206.02,42039210832.54,2049454573923.89,1871587665069.83,3243634962364.43
Southern Africa,2022,US$,343383695805.17,262547402582.26,80818384489.17,63410838056.12,59375858575.08,3331199679.38,112426536372.18,124853532955.10,395963807747.99
Southern Asia,2022,US$,3274984804085.71,2815553015873.91,458749932435.90,1440609821228.09,1297020525707.39,-564970510036.47,872633579972.81,1051851022235.38,4433025256990.41
Southern Europe,2022,US$,3098806072640.00,2350125218671.58,749435645684.43,826813409642.68,807747922185.33,17391479516.96,1510999459338.94,1468908381021.37,3972259925329.18
Spain,2022,US$,1012731020094.14,747799366151.31,265103559293.52,264083217857.19,252957442321.66,11105034918.17,485398602597.29,440699884218.63,1323058995419.39
Sri Lanka,2022,US$,63273600312.40,53285098645.01,9988501667.39,25118824870.52,21062984143.28,4055840727.24,17522398757.55,17455217781.53,88459606158.94
State of Palestine,2022,US$,19083100000.00,15908700000.00,3174400000.00,4197600000.00,3933900000.00,263700000.00,2911400000.00,10377600000.00,15612500000.00
Sub-Saharan Africa,2022,US$,1634663688009.93,1393378366922.66,239062990517.53,431404728689.34,400989838973.95,29171469233.51,413591447143.63,561308774806.06,1915965884468.73
Sudan,2022,US$,84192467969.53,81318072492.25,7596048027.17,11530072308.20,10624971393.05, ... ,7813706672.98,14719832752.66,87366859635.55
Suriname,2022,US$,2752698752.20,2253933672.88,498765079.32,1610450721.37,1610450721.37, ... ,2362130380.98,2311262196.00,4414017658.54
Sweden,2022,US$,400606610932.89,262640522064.78,138351039819.07,161932160545.61,154083695189.02,7714304403.75,292680330166.28,268252838993.50,587121570857.54
Switzerland,2022,US$,481559787619.56,393901593857.90,87697003821.77,187977540436.22,201276806433.44,-12389150584.06,548459307803.21,426070530535.22,790318933740.33
Syrian Arab Republic,2022,US$,15462288383.84,6709684797.25,3983529880.56,6585210116.09,6585210116.09, ... ,6813123379.21,21618148432.99,19285167467.72
Tajikistan,2022,US$,9772224628.92,8574999406.43,1197630235.42,4669267837.92,4841986348.79,110886886.57,2377893311.45,4560513410.81,13506343005.84
Thailand,2022,US$,333946077316.34,252127425630.09,77098847399.40,112422766944.29,109810121941.91,25639953673.16,280314481751.96,261680325137.53,450126287211.78
Timor-Leste,2022,US$,2120189942.55,1153818699.00,966371249.05,333482377.33,309028785.38,24453593.00,794219058.00,1086434830.00,2161456494.95
Togo,2022,US$,7017703053.25,5998847361.79,1018855691.46,1758824286.53,1758824286.53, ... ,1761487810.63,2709481951.94,7886169808.89
Tonga,2022,US$,650198854.67,498365062.52,150002380.80,79360106.53,90267597.01,-9977116.52,30108877.69,258294771.10,429814465.81
Trinidad and Tobago,2022,US$,15768660989.50,14599585649.90,3750152758.47,305868182.58,305868182.58, ... ,12825381196.06,7968737529.11,21672732634.25
Tunisia,2022,US$,48317580217.57,38732704669.85,9606517276.79,7623307490.73,7823042842.94,-375000488.45,21513071074.03,25463874513.93,50545993790.57
Turkmenistan,2022,US$,7510702483.22,4120667490.55,3390034993.78,18635016043.61,18635016043.61, ... ,27915181524.84,16586620192.76,37595619555.99
Turks and Caicos Islands,2022,US$,538814378.53,350569636.23,188271044.80,142565789.33,142565789.33, ... ,677115211.75,488490594.08,870031490.88
Tuvalu,2022,US$,65859999.55,26334655.94,39525343.86,11651651.07,11651651.07, ... ,5783781.49,40641803.40,45287366.27
Türkiye,2022,US$,992006205219.35,825156804185.41,165634276233.80,275489777744.14,288730896694.45, ... ,315686913447.03,274697319593.60,1194401649791.88
Uganda,2022,US$,33324325181.30,29420164382.27,3953691166.42,10694167151.41,10395473238.62,300615350.85,4579217922.02,7999577529.44,40037968776.30
Ukraine,2022,US$,87268597471.23,67450486057.61,18369006601.07,14073775990.83,12721264247.28,1408144221.01,25646990469.00,58754632698.32,71983887488.10
United Arab Emirates,2022,US$,273810029301.03,212844326468.38,60938940939.68,115947411061.36,89862871885.13,20346445654.32,457847913445.55,419220423703.58,431440812433.71
United Kingdom of Great Britain and Northern Ireland,2022,US$,2593733815149.42,2001730662117.99,658757261429.36,554309447242.03,584004554524.77,-1086351478.17,948685346539.18,993704036277.98,3209502458974.52
